Area	Area_Name	Grid_Value	Comb_Value	NVCMES	EVT_Value	Class_Name	Description
1	CONUS	11	11	01.C.1.D006M007E011	4536	Atlantic Coastal Plain Upland Longleaf Pine Woodland	This system of upland longleaf pine -dominated vegetation ranges from southern Virginia (beginning approximately at the James River) to northeastern Florida, and was perhaps the most extensive system in that area of the outer coastal plain. It is characterized by longleaf pine in an upland setting with natural exposure to frequent fire. A few occurrences just north of the range of longleaf pine are dominated by old-growth loblolly pine. It occurs on a variety of well- to excessively drained soils, and on the higher parts of upland-wetland mosaics. Most areas have an understory of scrub oaks. The herb layer is generally well-developed and dominated by three-awn and other grasses.  Frequent, low-intensity fire is the dominant natural ecological force.
1	CONUS	12	12	01.C.1.D006M007E012	5602	Atlantic Coastal Plain Xeric River Dune	This system encompasses a range of vegetation present on inland sand dunes of the Coastal Plain of Georgia. These dunes are associated with certain rivers such as the Ohoopee and Canoochee (Wharton 1978) and are apparently eolian in origin, formed of riverine alluvial sands. The sandy soils are deep, coarse, and xeric in nature. The vegetation consists of an assemblage of xeric communities that also occur in other xeric habitats in the Coastal Plain. These include longleaf pine - turkey oak communities and a scrub community akin to Inland Florida Scrub, but lacking sand pine. This system is distinguished from more typical xeric sandhills of the Coastal Plain by its occurrence on the deep sands of river dunes. In addition this environment is naturally topographically isolated and consequently has a lower fire-return interval than other upland systems of which longleaf pine is a component.
1	CONUS	13	13	01.C.1.D006M007E013	4508	East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Open Understory Modifier	"This system represents longleaf pine forests of rolling, dissected uplands of the East Gulf Coastal Plain. These stands occur inland of the coastal flatlands (sensu Peet and Allard 1993) and potentially occupy a much larger geographic area than this related system, extending landward into the Upper East Gulf Coastal Plain by about 50 miles. The characteristic species is Pinus palustris, although many stands may support only relictual individuals given a long history of exploitation and stand conversion. This system includes stands with a range of soil and moisture conditions. Mesic stands on fine-textured soils are more typical of the system, although limited xeric areas on deep sands are also present. In natural condition, fire is believed to have been frequent enough to limit development of intolerant species of hardwoods and both Pinus taeda and Pinus echinata. Although such species may be present or even common in the most mesic stands, they generally do not share dominance in the overstory unless the system has been fire-suppressed.

Variation:  Open Undestory - Sites where fire frequency or management maintain the open aspect with herbaceous or widely scattered shrubs in the understory.

Other Variation(s):  Loblolly, Offsite Hardwood, Scrub/Shrub."
1	CONUS	14	14	01.C.1.D006M007E014	4509	East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland - Scrub/Shrub Modifier	"This system represents longleaf pine forests of rolling, dissected uplands of the East Gulf Coastal Plain. These stands occur inland of the coastal flatlands (sensu Peet and Allard 1993) and potentially occupy a much larger geographic area than this related system, extending landward into the Upper East Gulf Coastal Plain by about 50 miles. The characteristic species is Pinus palustris, although many stands may support only relictual individuals given a long history of exploitation and stand conversion. This system includes stands with a range of soil and moisture conditions. Mesic stands on fine-textured soils are more typical of the system, although limited xeric areas on deep sands are also present. In natural condition, fire is believed to have been frequent enough to limit development of intolerant species of hardwoods and both Pinus taeda and Pinus echinata. Although such species may be present or even common in the most mesic stands, they generally do not share dominance in the overstory unless the system has been fire-suppressed.

Variation:  Scrub/Shrub - Sites with a dense understory of scrub oaks or shrubs, generally fire surpressed.

Other Variation(s):  Loblolly, Offsite Hardwood, Open Understory."
1	CONUS	15	15	01.C.1.D006M007E015	4503	Florida Longleaf Pine Sandhill - Scrub/Shrub Understory Modifier	"This system represents Pinus palustris stands or ""islands"" on excessively well-drained, sandy soils of central Florida.  In comparison with other Pinus palustris-dominated system types of the southeastern United States, this type is unique in being found within a matrix of sand pine scrub vegetation.  It occurs in approximately 9 isolated patches ranging in size from 60-4000 hectares, found primarily on the Ocala National Forest.  Examples also occur on the southern end of the Lake Wales Ridge.  Fire is absolutely essential to maintain this system, without which it may be almost completely replaced by scrub vegetation.

Variation:  Scrub/Shrub Understory - Dense shrubs dominate the understory often as the result of fire surpression.

Other Variation(s):  Open Understory."
1	CONUS	16	16	01.C.1.D006M007E016	4502	Florida Longleaf Pine Sandhill- Open Understory Modifier	"This system represents Pinus palustris stands or ""islands"" on excessively well-drained, sandy soils of central Florida.  In comparison with other Pinus palustris-dominated system types of the southeastern United States, this type is unique in being found within a matrix of sand pine scrub vegetation.  It occurs in approximately 9 isolated patches ranging in size from 60-4000 hectares, found primarily on the Ocala National Forest.  Examples also occur on the southern end of the Lake Wales Ridge.  Fire is absolutely essential to maintain this system, without which it may be almost completely replaced by scrub vegetation.

Variation:  Open Understory - Open woodlands with herbaceous or widely dispersed shrubs, generally maintained by fire or other management.

Other Variation(s):  Scrub/Shrub Understory."
1	CONUS	17	17	01.C.1.D006M007E017	4321	West Gulf Coastal Plain Upland Longleaf Pine Forest and Woodland	The common and unifying feature of this system is vegetation naturally dominated by longleaf pine. This was formerly the most extensive system within its natural range in western Louisiana and eastern Texas. In most of the region, longleaf pine is (presently) a distinctive, but rarely dominant, element of existing vegetation (Harcombe et al. 1993). However, this tree historically dominated the vegetation across nearly all uplands regardless of soil type or moisture (excluding wetlands), and longleaf pine forests were among the most valuable economic resources in the region at the turn of the century (Bray 1906). Typical sites included sandhills on well-drained to excessively drained soils, but also more loamy and clayey upland soils. The importance of frequent fire has been well documented for the perpetuation of this system. Unlike comparable systems east of the Mississippi River, this type lies outside the range of threeawn spp. (wiregrasses), but most stands supported open grass-dominated understories rich in species diversity.
1	CONUS	18	18	01.C.1.D006M008E018	4210	Atlantic Coastal Plain Central Maritime Forest	This system encompasses most forests and shrublands of Atlantic Coast barrier islands and similar coastal strands, from Virginia Beach to central South Carolina. Areas are influenced by salt spray, extreme disturbance events, and the distinctive climate of the immediate coast. Many examples of this system will include a component of live oak or wax-myrtle. Also included are embedded freshwater depressional wetlands dominated by shrubs or small trees, such as  stiff dogwood, swamp bay, or Carolina willow.
1	CONUS	19	19	01.C.1.D006M008E019	4212	Atlantic Coastal Plain Southern Maritime Forest	This system encompasses a range of woody vegetation present on stabilized upland dunes of barrier islands and near-coastal strands, from central South Carolina (approximately Cooper River) southward to approximately Volusia County, Florida. It includes vegetation whose structure and composition are influenced by salt spray, extreme disturbance events, and the distinctive climate of the immediate coast. Examples are known from the barrier islands of Georgia and Florida, such as Big Talbot Island, Florida, and probably Sapelo Island, Georgia. Most typical stands are dominated by oaks, primarily live oak and/or sand live oak. Vegetation may also include different woodland communities often dominated by southern pine species. Longleaf pine, pond pine, and slash pine are all important in documented examples. These examples tend to have densely shrubby subcanopies and understories with species such as live oak, sand live oak, sand laurel oak, Chapman oak, myrtle oak, and southern magnolia. Unlike maritime vegetation to the north, this system may be more heavily influenced by natural fire regimes that may help to explain the predominance of the fire-tolerant pine species. It has been postulated that the natural fire frequency is from 20-30 years.
1	CONUS	20	20	01.C.1.D006M008E020	4136	Central and South Texas Coastal Fringe Forest and Woodland	This system includes oak-dominated forests woodlands, shrublands and savannas occurring on deep sands of the Pleistocene-aged Ingleside barrier-strandplain of the central Texas coast and the Holocene-aged eolian sand deposits of the South Texas Sand Sheet. Topography varies from larger dunes to smaller ridges and swales. Vegetation of this physiognomically variable and dynamic system primarily includes patches (mottes) of forests, woodlands and shrublands dominated by plateau live oak. Associated species vary in a north/south manner across the range of this system. Other canopy species in the vicinity of Aransas National Wildlife Refuge, at the northern end of the range, include blackjack oak, sand laurel oak, redbay, and sugarberry. In this area, understory species include yaupon, fringed greenbrier, mustang grape, and/or wax-myrtle. Other canopy species on the South Texas Sand Sheet, at the southern end of the range, include honey mesquite, Texas Hercules'-club, Brazilian bluewood, West Indian shrub-verbena, lotebush, and a very few other species. Many of the species found in the northern parts of the range of this system are absent in the southern occurrences. A characteristic component of the sparse ground cover within the mottes and forests across the entire range is Texas mallow. Canopy openings are similar in composition to surrounding grasslands. In addition to seaside bluestem, other herbaceous species common in canopy openings across the range of this system include brownseed crowngrass, gulfdune crowngrass, big bluestem, yellow Indiangrass, hair-awn muhly, Georgia frostweed, sandhill croton, and plains snake-cotton. Minor changes in drainage can cause major differences in species composition. On the Ingleside barrier-strandplain, while gulfdune crowngrass may dominate slightly lower areas, deeper swales are typically dominated by switchgrass, saltmeadow cordgrass, fimbry spp., beach pennywort, beaksedge spp., umbrella-sedge spp., spikerush spp., and flatsedge spp.
1	CONUS	21	21	01.C.1.D006M008E021	4102	East Gulf Coastal Plain Limestone Forest	This system represents deciduous forests of the East Gulf Coastal Plain where limestone or other calcareous substrate occurs near enough to the surface to influence vegetation composition. Examples are most common in the Black Belt region of Alabama and Mississippi, but are also present in more isolated patches in other portions of the region, including western Alabama, northern Florida, and western Tennessee. Generally, the vegetation consists of forests and woodlands on well-developed, deep soils. Related vegetation surrounding rock outcrops and calcareous prairies is accommodated under other ecological systems.
1	CONUS	22	22	01.C.1.D006M008E022	4150	East Gulf Coastal Plain Maritime Forest	This system encompasses a mosaic of woody vegetation present on barrier islands and near-coastal strands along the northern Gulf of Mexico, from the Florida panhandle to southern Mississippi. Examples may include forests and/or shrublands that are found in somewhat more protected environments than ~East Gulf Coastal Plain Dune and Coastal Grassland (CES203.500)$$. Such areas include relatively stabilized coastal dunes, sometimes with a substantial shell component. Vegetation structure and composition are influenced by salt spray, extreme disturbance events, and the distinctive climate of the immediate coast. Stands may be dominated by a variety of needle-leaved and broad-leaved evergreen trees, including sand pine, slash pine, longleaf pine, live oak, cabbage palmetto, pignut hickory, and sand hickory. Wetland inclusions may be dominated by pond-cypress and sweetbay. The most heavily salt-influenced examples may appear pruned or sculpted.
1	CONUS	23	23	01.C.1.D006M008E023	4129	East Gulf Coastal Plain Southern Loess Bluff Forest	"This system of upland hardwood-dominated forests is defined as including both the steep loess bluffs bordering the eastern edge of the Mississippi River Alluvial Plain, ranging from south-central Mississippi to southeastern Louisiana, as well as hardwood vegetation of the ""Loess Plains"" immediately to the east of these bluffs and ravines. The vegetation is often richer than surrounding non-loessal areas, or those with only thin loess deposits. At least in some examples of this system, tree species normally associated with bottomland habitats are found to be abundant or even dominant in non-flooded uplands. In many cases, the bluffs provide habitat ""refugia"" for plant species that are more common to the north (Delcourt and Delcourt 1975). Braun (1950) noted that the general composition of forests along the bluffs changes from north to south; the more northerly examples are represented in this classification by ~East Gulf Coastal Plain Northern Loess Bluff Forest (CES203.481)$$, north of the range of southern magnolia and spruce pine. As currently defined this system ranges from about 32 degrees N latitude (where the Big Black River dissects the bluffs) southward and is restricted to the southern part of the Loess Bluff Hills (Ecoregion 74a of EPA (2004))."
1	CONUS	24	24	01.C.1.D006M008E024	4209	East Gulf Coastal Plain Southern Mesic Slope Forest	This forested system of the southern East Gulf and Atlantic coastal plains occurs on steep slopes, bluffs, or sheltered ravines where fire is naturally rare, generally within the natural range of spruce pine as mapped by Kossuth and Michael (1990) and southern magnolia as mapped by Outcalt (1990). Stands are mesic, and vegetation typically includes species such as American beech, southern magnolia, florida anisetree, and other species rarely encountered outside this system in the region. Related forests which occur on deep loess soils along the western margin of the region are classified as ~East Gulf Coastal Plain Southern Loess Bluff Forest (CES203.556)$$. Some component associations are also found in temporarily flooded floodplains adjacent to these slopes, but this is primarily an upland system. The system also includes essentially upland vegetation of Pleistocene terraces, although these are conceptually transitional to creek floodplain systems.
1	CONUS	25	25	01.C.1.D006M008E025	4153	Mississippi Delta Maritime Forest	This system includes forests on barrier islands and spits formed during the deltaic shifts of the Mississippi River. It also includes the woody vegetation of salt domes in the Mississippi River deltaic plain. Since natural deltaic processes have been altered, barrier island are no longer being formed in the Mississippi Delta region and existing barrier islands are undergoing subsidence and beach erosion. This system currently includes one forested beach ridge located at Grande Isle in Louisiana.
1	CONUS	26	26	01.C.1.D006M008E026	4130	Southern Coastal Plain Dry Upland Hardwood Forest	This is one of three hardwood-dominated systems found in the East Gulf Coastal Plain and adjacent areas of central Florida. This type is found in the Southern Coastal Plain and Southeastern Plains (EPA Level III Ecoregion 75 and parts of 65). Examples attributable to this type are typically deciduous or mixed evergreen oak-dominated forests, often with a pine component present. Although the southern portion of the range of this system overlaps ~Southern Coastal Plain Oak Dome and Hammock (CES203.494)$$, the latter is dominated by evergreen oak species, and the two should not be confused. The core range of this type extends northward to the approximate historical range of longleaf pine; although most deciduous species do not mimic this range, this boundary does appear to be a reasonable demarcation boundary north of which white oak becomes more abundant and south of which sand laurel oak is more diagnostic. Like all hardwood systems of this region, examples occur within a landscape matrix historically occupied by pine-dominated uplands and consequently only occurred in fire-sheltered locations in naturally small to large patches. Examples of this system tend to occur on sites intermediate in moisture tendency (mostly dry to dry-mesic), although occasional xeric stands may also be included. Toward the northern range limits of this system, it may have been less restricted to small patches in fire-protected locations, and may have been formerly more prevalent on the landscape even in areas heavily influenced by fire.<br><br>Important tree species vary geographically and according to previous disturbance. Sand laurel oak is a typical species in many examples, with post oak, southern red oak, and white oak less frequently encountered, but dominant in some stands. The overstory of some examples may be quite diverse, with hickories and other hardwood species often present. Typically mesic sites, as indicated by species indicative of these conditions, are covered under other systems. Loblolly pine is sometimes present, but it is unclear if it is a natural component or has entered only as a result of past cutting. Spruce pine or shortleaf pine may also be present in some examples. Stands may be found on slopes above rivers and adjacent to sinkholes, as well as other fire-infrequent habitats.
1	CONUS	27	27	01.C.1.D006M008E027	4146	Southern Coastal Plain Oak Dome and Hammock	This small-patch system occurs in the Southern Coastal Plain (Omernik ecoregion 75). Examples are known from inland portions of this region including parts of the East Gulf Coastal Plain (TNC ecoregion 53) and Florida peninsula (TNC ecoregion 55), and nearby portions of the South Atlantic Coastal Plain (TNC ecoregion 56). Thick stands of live oak and/or sand live oak are diagnostic of this system. Examples often occupy locally distinct microhabitats that differ from the surrounding landscape, such as shallow depressions or slight topographic highs in a predominantly longleaf pine-dominated landscape. Although embedded in a matrix of vegetation with extremely frequent fire regimes, patches of this system are subject to only infrequent or rare fire events. Under more frequent fire regimes, these sites would likely be occupied by longleaf pine. It has been postulated that winter burning regimes have allowed this type to expand. A range of soil and moisture conditions may be present. More mesic examples have relatively thin soils (to 50 cm) above clay, while xeric examples occupy deep (>130 cm) well-drained sands. Dominant plant taxa of mesic examples are live oak and sand laurel oak, along with eastern persimmon. Trumpetvine and greenbrier spp. dominate the sparse ground cover. In xeric examples, dominants include sand live oak, longleaf pine, live oak, Carolina wiregrass, and southern dawnflower. This system is low in plant species diversity compared to most other habitats in the region.
1	CONUS	28	28	01.C.1.D006M008E028	4137	West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland	This system includes a range of woody vegetation present along the northern Gulf of Mexico, from Louisiana to the upper Texas coast, including shell ridges along the coast and bay margins, coastal salt domes, stranded ancient barrier ridges (Ingleside barrier strandplain), and chenier ridges of the chenier plain. It is heterogeneous in physiognomy, including forests, woodlands and shrublands. The chenier plain is characterized by a prograding coastline replenished by sediments carried to the Gulf initially by the Mississippi and subsequently the Atchafalaya and other rivers. It is void of barrier islands and shoreline, sediments are reworked by waves into beach ridges, sometimes with a substantial shell component. This process has been continuing since the last glacial retreat, and as the coast line progrades, older beach ridges are left as interior ridges surrounded by marsh. These interior beach ridges are referred to as cheniers (French for oak) because they were historically dominated by live oak (live oak). Ridges parallel the coast and are usually 3 meters above mean sea level. Today, very few remain vegetated by a live oak-dominated forest because many have been cleared for agriculture. Though not confined to coastal areas, salt domes are a distinctive feature along the Gulf Coast of upper Texas and Louisiana where they often form a drastic contrast to the low-lying Coastal Plain sediments surrounding them. Formed by the rise of salt masses which push up overlying strata, salt domes may rise 30 meters above the surrounding landscape. The natural vegetation of cheniers and salt domes are oak-dominated woodlands and forests. The Ingleside barrier strandplain is a Pleistocene barrier ridge that outcrops discontinuously along the Texas coast. One of these areas is located northeast of Galveston Bay and supports vegetation classes within this ecological system. Shell ridges located along coast and bay margins are typically dominated by halophytic shrubs. Similar vegetation may also be found on coastal dredge spoil. Vegetation structure and composition of occurrences of this system may be influenced by salt spray (on those shell ridges, salt domes and cheniers closest to the Gulf), tropical storms and hurricanes, and the distinctive climate of the immediate coast. This system includes the Northern Gulf Coast Chenier Plain which extends from Vermillion Bay in Louisiana through Jefferson County, Texas; it also includes the upper Texas coast from the chenier plain south to Matagorda Bay.
1	CONUS	29	29	01.C.1.D006M008E029	4204	West Gulf Coastal Plain Mesic Hardwood Forest	This ecological system is found in limited upland areas (especially ravines and sideslopes) of the Gulf Coastal Plain west of the Mississippi River. These areas are topographically isolated from historically fire-prone, pine-dominated uplands in eastern Texas, western Louisiana, and southern Arkansas. Sites are often found along slopes above perennial streams in the region. These sites have moderate to high fertility and moisture retention. Soils can be quite variable, ranging from coarse to loamy in surface texture. Most are acidic in surface reactions and less commonly circumneutral. Vegetation indicators are mesic hardwoods such as American beech, white oak, and American holly, although scattered, large-diameter pines (most often loblolly pine) are also often present. Spring-blooming herbaceous species are typical in the understory of most examples.
1	CONUS	30	30	01.C.1.D006M157E030	4541	East-Central Texas Plains Pine Forest and Woodland	"This system, dominated by loblolly pine, is endemic to central Texas. Locally this is known as the ""Bastrop Pines."" Examples may share similarities, in terms of the vegetation, with Coastal Plain pine-hardwood systems to the east (TNC Ecoregions 40 and 41) but differ in the fact that this system contains only loblolly pine which is generally considered successional in the more eastern systems. The vegetation includes a range of communities (that have yet to be defined) that range from very dry to xeric uplands to dry and even mesic areas with different suites of hardwood associates. The loblolly pine of this region is genetically different than strains to the east; it has much greater drought tolerance. It is possible that this area was one of the epicenters of early southern pine colonization of the Coastal Plain based on fossil pollen evidence."
1	CONUS	31	31	01.C.1.D006M157E031	4332	West Gulf Coastal Plain Pine-Hardwood Forest	"This West Gulf Coastal Plain ecological system consists of forests and woodlands dominated by loblolly pine and/or shortleaf pine in combination with a host of dry to dry-mesic site hardwood species. This type was the historical matrix (dominant vegetation type) for large portions of TNC ecoregion 40 (Upper West Gulf Coastal Plain) where it replaced longleaf pine-dominated vegetation. In this region of southern Arkansas, northwestern Louisiana, and parts of eastern Texas, this type was historically present on nearly all uplands in the region except on the most edaphically limited sites (droughty sands, calcareous clays, and shallow soil barrens/rock outcrops). Such sites are underlain by loamy to fine-textured soils of variable depths. These are upland sites on ridgetops and adjacent side slopes, with moderate fertility and moisture retention. This type was also present in more limited areas of TNC ecoregion 41 (West Gulf Coastal Plain), where it was confined more typically to side slopes and other locations not dominated by longleaf pine. There are no known ""fidel"" herbaceous species or any local endemic or globally rare plant species, and overall this system may have supported relatively low levels of vascular plant species diversity. This system has undergone major transformations since European settlement of the region."
1	CONUS	32	32	01.C.1.D006M157E032	4336	West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland	This ecological system occurs west of the Mississippi River primarily outside the natural range of longleaf pine and less commonly within. Like other sandhill systems of the Gulf and Atlantic coastal plains, this type is found on uplands underlain with deep, coarse sandy soils. These sites are typified by low fertility and moisture retention, which contribute to open tree canopies with usually <60% canopy closure. Sparse understory vegetation and abundant patches of bare soil are indicative of this system. Vegetation indicators are species tolerant of droughty sites, especially bluejack oak and Arkansas oak, but also blackjack oak and post oak. Longleaf pine is absent (or perhaps at low frequency within its range); shortleaf pine is usually present. This system supports a large concentration of vascular plant endemics, near endemics, and a number of plant species with high fidelity to sandhills in the region. Elsewhere in the Atlantic and Gulf coastal plains, including most of the adjacent ecoregion (41), these site conditions are closely associated with longleaf pine.
1	CONUS	33	33	01.C.1.D006M305E033	4504	Atlantic Coastal Plain Fall-Line Sandhills Longleaf Pine Woodland - Loblolly Modifier	"This system occurs in the Fall-Line Sandhills region of from central North Carolina extending into central Georgia.  It is the predominant system in its range, covering most of the natural landscape of the region.  It occurs on upland sites ranging from gently rolling, broad ridgetops to steeper side slopes, as well as locally in mesic swales and terraces.  Most soils are well- to excessively drained.  The vegetation is naturally dominated by longleaf pine (Pinus palustris).  Most associations have an understory of scrub oaks.  The herb layer is generally well-developed and dominated by grasses.  Wiregrass (Aristida stricta in the north, Aristida beyrichiana in the south) dominates in most of the range, but other grasses dominate where it is absent.  Forbs, including many legumes, are also abundant.  Frequent, low-intensity fire is the dominant natural ecological force.

Variation:  Loblolly - These stands are dominated by loblolly or slash pine as a result of past disturbance history.

Other Variation(s):  Offsite Hardwood, Open Understory, Scrub/Shrub Understory."
1	CONUS	34	34	01.C.1.D006M305E034	8201	Deciduous Plantations	Even-aged, regularly spaced forest stands established by planting and/or seeding in the process of afforestation or reforestation where individual trees are generally > 5 meters in height.  Specifically, this class refers to plantations dominated by deciduous species.
